;solvent_names;solvent_class;base_names;base_class;temperature;ligand;Pd source;yield;article;reaction_smiles;boronate;bromide;condition_string
7102;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]4;90.0;"Article; Wang, Wen-Long; Chai, Sergio C.; Huang, Min; He, Hong-Zhen; Hurley, Thomas D.; Ye, Qi-Zhuang; Journal of Medicinal Chemistry; vol. 51; 19; (2008); p. 6110 - 6120;";CC1=CC(I)=C(C)S1.COC1=C(OC)C=C(C=C1)B(O)O>>COC1=C(OC)C=C(C=C1)C1=C(C)SC(C)=C1;COC1=C(OC)C=C(C=C1)B(O)O;CC1=CC(I)=C(C)S1;DMF:water,,Na2CO3,,PPh3
7116;toluene,,water;polarAromatic;sodium carbonate;carbonate;100;PPh3;Pd[P(Ph)3]4;85.0;"Article; Bey, Emmanuel; Marchais-Oberwinkler, Sandrine; Negri, Matthias; Kruchten, Patricia; Oster, Alexander; Klein, Tobias; Spadaro, Alessandro; Werth, Ruth; Frotscher, Martin; Birk, Barbara; Hartmann, Rolf W.; Journal of Medicinal Chemistry; vol. 52; 21; (2009); p. 6724 - 6743;";BrC1=CC=C(Br)S1.COC1=CC=C(C=C1F)B(O)O>>COC1=CC=C(C=C1F)C1=CC=C(Br)S1;COC1=CC=C(C=C1F)B(O)O;BrC1=CC=C(Br)S1;Toluene:water,,Na2CO3,,PPh3
7157;1,4-dioxane,,water;waterEther;potassium phosphate;phosphate;150;PPh3;Pd[P(Ph)3]4;4.0;"Article; Liu, Jing; Zhang, Weihe; Stashko, Michael A.; DeRyckere, Deborah; Cummings, Christopher T.; Hunter, Debra; Yang, Chao; Jayakody, Chatura N.; Cheng, Nancy; Simpson, Catherine; Norris-Drouin, Jacqueline; Sather, Susan; Kireev, Dmitri; Janzen, William P.; Earp, H. Shelton; Graham, Douglas K.; Frye, Stephen V.; Wang, Xiaodong; European Journal of Medicinal Chemistry; vol. 65; (2013); p. 83 - 93;";OB(O)C1=CC=C(C=C1)S(=O)(=O)NC1CC1.CCCCNC1=NC=C2C(Br)=NN(C3CCC(O)CC3)C2=N1>>CCCCNC1=NC=C2C(=N1)N(N=C2C1=CC=C(C=C1)S(=O)(=O)NC1CC1)C1CCC(O)CC1;OB(O)C1=CC=C(C=C1)S(=O)(=O)NC1CC1;CCCCNC1=NC=C2C(Br)=NN(C3CCC(O)CC3)C2=N1;1,4-dioxane:water,,K3PO4,,PPh3
7184;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]4;90.0;"Article; Wang, Jia; Zhu, Hai-Tao; Qiu, Yi-Feng; Niu, Yuan; Chen, Si; Li, Ying-Xiu; Liu, Xue-Yuan; Liang, Yong-Min; Organic Letters; vol. 17; 12; (2015); p. 3186 - 3189;";CN1C2=CC=CC=C2C2=C(C(I)=CC=C12)C1=CC=CC=C1.COC1=CC=C(C=C1)B(O)O>>COC1=CC=C(C=C1)C1=CC=C2N(C)C3=CC=CC=C3C2=C1C1=CC=CC=C1;COC1=CC=C(C=C1)B(O)O;CN1C2=CC=CC=C2C2=C(C(I)=CC=C12)C1=CC=CC=C1;1,4-dioxane:water,,Na2CO3,,PPh3
7213;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]2Cl2;90.0;"Article; Mule, Ravindra D.; Shaikh, Aslam C.; Gade, Amol B.; Patil, Nitin T.; Chemical Communications; vol. 54; 84; (2018); p. 11909 - 11912;";CCCCCC1=CC=C(C=C1)C#CC1=C(C=CC=C1)B(O)O.COC1=CC=C(C=C1)C1=CC=CC(Br)=N1>>CCCCCC1=CC=C(C=C1)C#CC1=C(C=CC=C1)C1=CC=CC(=N1)C1=CC=C(OC)C=C1;CCCCCC1=CC=C(C=C1)C#CC1=C(C=CC=C1)B(O)O;COC1=CC=C(C=C1)C1=CC=CC(Br)=N1;DMF:water,,Na2CO3,,PPh3
7214;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]2Cl2;85.0;"Article; Mule, Ravindra D.; Shaikh, Aslam C.; Gade, Amol B.; Patil, Nitin T.; Chemical Communications; vol. 54; 84; (2018); p. 11909 - 11912;";CCCCC#CC1=CC=CC=C1B(O)O.COC1=CC=C(C=C1)C1=CC=CC(Br)=N1>>CCCCC#CC1=C(C=CC=C1)C1=CC=CC(=N1)C1=CC=C(OC)C=C1;CCCCC#CC1=CC=CC=C1B(O)O;COC1=CC=C(C=C1)C1=CC=CC(Br)=N1;DMF:water,,Na2CO3,,PPh3
7215;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]2Cl2;90.0;"Article; Mule, Ravindra D.; Shaikh, Aslam C.; Gade, Amol B.; Patil, Nitin T.; Chemical Communications; vol. 54; 84; (2018); p. 11909 - 11912;";COC1=CC(=CC(OC)=C1)C1=NC(Br)=CC=C1.OB(O)C1=CC=CC=C1C#CC1=CC=CC=C1>>COC1=CC(=CC(OC)=C1)C1=NC(=CC=C1)C1=C(C=CC=C1)C#CC1=CC=CC=C1;OB(O)C1=CC=CC=C1C#CC1=CC=CC=C1;COC1=CC(=CC(OC)=C1)C1=NC(Br)=CC=C1;DMF:water,,Na2CO3,,PPh3
7255;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;150;PPh3;Pd[P(Ph)3]4;74.0;"Article; Choi, Young Lok; Lee, Hyuk; Kim, Bum Tae; Choi, Kihang; Heo, Jung-Nyoung; Advanced Synthesis and Catalysis; vol. 352; 11-12; (2010); p. 2041 - 2049;";CC1=CC=C(C=C1)S(=O)(=O)N1C=C(Br)C=N1.OB(O)C1=CC=CC=C1>>CC1=CC=C(C=C1)S(=O)(=O)N1C=C(C=N1)C1=CC=CC=C1;OB(O)C1=CC=CC=C1;CC1=CC=C(C=C1)S(=O)(=O)N1C=C(Br)C=N1;1,4-dioxane:water,,Na2CO3,,PPh3
7287;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;110;PPh3;Pd[P(Ph)3]4;54.4;"Article; Handy, Scott T.; Zhang, Yanan; Bregman, Howard; Journal of Organic Chemistry; vol. 69; 7; (2004); p. 2362 - 2366;";COC1=C(OC)C=C(B(O)O)C(CCO)=C1.CCOC(=O)C1=CC(=C(Br)N1)C1=CC(OC)=C(OC)C=C1>>CCOC(=O)C1=CC(=C(N1)C1=CC(OC)=C(OC)C=C1CCO)C1=CC(OC)=C(OC)C=C1;COC1=C(OC)C=C(B(O)O)C(CCO)=C1;CCOC(=O)C1=CC(=C(Br)N1)C1=CC(OC)=C(OC)C=C1;DMF:water,,Na2CO3,,PPh3
7323;toluene,,water;polarAromatic;potassium phosphate;phosphate;90;PPh3;Pd[P(Ph)3]4;51.0;"Article; Dang, Thanh Tuan; Rasool, Nasir; Dang, Thanh Tung; Reinke, Helmut; Langer, Peter; Tetrahedron Letters; vol. 48; 5; (2007); p. 845 - 847;";CC1=CC=C(C=C1)C1=C(Br)C(Br)=C(S1)C1=CC=C(C)C=C1.OB(O)C1=CC=CC=C1.OB(O)C1=CC=CC=C1>>CC1=CC=C(C=C1)C1=C(C(=C(S1)C1=CC=C(C)C=C1)C1=CC=CC=C1)C1=CC=CC=C1;OB(O)C1=CC=CC=C1;Cc1ccc(-c2sc(-c3ccc(C)cc3)c(-c3ccccc3)c2Br)cc1;Toluene:water,,K3PO4,,PPh3
7341;toluene,,water;polarAromatic;potassium phosphate;phosphate;90;PPh3;Pd[P(Ph)3]4;69.0;"Article; Tuan, Dang Thanh; Tung, Dang Thanh; Langer, Peter; Synlett; 17; (2006); p. 2812 - 2814;";Br\C(N(=O)=O)=C/C1=CC=C(Br)O1.COC1=CC=C(C=C1)B(O)O>>COC1=CC=C(C=C1)C1=CC=C(O1)\C=C(/Br)N(=O)=O;COC1=CC=C(C=C1)B(O)O;Br\C(N(=O)=O)=C/C1=CC=C(Br)O1;Toluene:water,,K3PO4,,PPh3
7342;1,4-dioxane,,water;waterEther;potassium phosphate;phosphate;90;PPh3;Pd[P(Ph)3]4;67.0;"Article; Tuan, Dang Thanh; Tung, Dang Thanh; Langer, Peter; Synlett; 17; (2006); p. 2812 - 2814;";Br\C(N(=O)=O)=C/C1=CC=C(Br)O1.CCOC1=CC=C(C=C1)B(O)O>>CCOC1=CC=C(C=C1)C1=CC=C(O1)\C=C(/Br)N(=O)=O;CCOC1=CC=C(C=C1)B(O)O;Br\C(N(=O)=O)=C/C1=CC=C(Br)O1;1,4-dioxane:water,,K3PO4,,PPh3
7352;toluene,,water;polarAromatic;potassium phosphate;phosphate;90;PPh3;Pd[P(Ph)3]4;66.0;"Article; Dang, Tung T.; Ahmad, Rasheed; Dang, Tuan T.; Reinke, Helmut; Langer, Peter; Tetrahedron Letters; vol. 49; 10; (2008); p. 1698 - 1700;";CN1C(Br)=C(Br)C(Br)=C1Br.OB(O)C1=CC=CC(=C1)C1=CC=CC=C1>>CN1C(Br)=C(Br)C(Br)=C1C1=CC=CC(=C1)C1=CC=CC=C1;OB(O)C1=CC=CC(=C1)C1=CC=CC=C1;CN1C(Br)=C(Br)C(Br)=C1Br;Toluene:water,,K3PO4,,PPh3
7353;toluene,,water;polarAromatic;potassium phosphate;phosphate;90;PPh3;Pd[P(Ph)3]4;71.0;"Article; Dang, Tung T.; Ahmad, Rasheed; Dang, Tuan T.; Reinke, Helmut; Langer, Peter; Tetrahedron Letters; vol. 49; 10; (2008); p. 1698 - 1700;";CN1C(Br)=C(Br)C(Br)=C1Br.OB(O)C1=CC=CC(Cl)=C1>>CN1C(Br)=C(Br)C(Br)=C1C1=CC=CC(Cl)=C1;OB(O)C1=CC=CC(Cl)=C1;CN1C(Br)=C(Br)C(Br)=C1Br;Toluene:water,,K3PO4,,PPh3
7354;1,4-dioxane,,water;waterEther;potassium phosphate;phosphate;90;PPh3;Pd[P(Ph)3]4;70.0;"Article; Dang, Tung T.; Ahmad, Rasheed; Dang, Tuan T.; Reinke, Helmut; Langer, Peter; Tetrahedron Letters; vol. 49; 10; (2008); p. 1698 - 1700;";CN1C(Br)=C(Br)C(Br)=C1Br.COC1=CC=CC=C1B(O)O>>COC1=CC=CC=C1C1=C(Br)C(Br)=C(Br)N1C;COC1=CC=CC=C1B(O)O;CN1C(Br)=C(Br)C(Br)=C1Br;1,4-dioxane:water,,K3PO4,,PPh3
7355;1,4-dioxane,,water;waterEther;potassium phosphate;phosphate;90;PPh3;Pd[P(Ph)3]4;72.0;"Article; Dang, Tung T.; Ahmad, Rasheed; Dang, Tuan T.; Reinke, Helmut; Langer, Peter; Tetrahedron Letters; vol. 49; 10; (2008); p. 1698 - 1700;";CN1C(Br)=C(Br)C(Br)=C1Br.CC1=CC(=CC(C)=C1)B(O)O>>CN1C(Br)=C(Br)C(Br)=C1C1=CC(C)=CC(C)=C1;CC1=CC(=CC(C)=C1)B(O)O;CN1C(Br)=C(Br)C(Br)=C1Br;1,4-dioxane:water,,K3PO4,,PPh3
7356;N,N-dimethyl-formamide,,water;polar;potassium phosphate;phosphate;80;PPh3;Pd[P(Ph)3]4;69.0;"Article; Aurelio, Luigi; Figler, Heidi; Flynn, Bernard L.; Linden, Joel; Scammells, Peter J.; Bioorganic and Medicinal Chemistry; vol. 16; 3; (2008); p. 1319 - 1327;";CCOC(=O)C1=C(NC(=O)OC(C)(C)C)SC(Br)=C1C1=CC=CC(=C1)C(F)(F)F.OB(O)C1=CC=C(C=C1)N(=O)=O>>CCOC(=O)C1=C(NC(=O)OC(C)(C)C)SC(=C1C1=CC=CC(=C1)C(F)(F)F)C1=CC=C(C=C1)N(=O)=O;OB(O)C1=CC=C(C=C1)N(=O)=O;CCOC(=O)C1=C(NC(=O)OC(C)(C)C)SC(Br)=C1C1=CC=CC(=C1)C(F)(F)F;DMF:water,,K3PO4,,PPh3
7357;N,N-dimethyl-formamide,,water;polar;potassium phosphate;phosphate;80;PPh3;Pd[P(Ph)3]4;69.0;"Article; Aurelio, Luigi; Figler, Heidi; Flynn, Bernard L.; Linden, Joel; Scammells, Peter J.; Bioorganic and Medicinal Chemistry; vol. 16; 3; (2008); p. 1319 - 1327;";CCOC(=O)C1=C(NC(=O)OC(C)(C)C)SC(Br)=C1C1=CC=CC(=C1)C(F)(F)F.CC(=O)C1=CC=CC(=C1)B(O)O>>CCOC(=O)C1=C(NC(=O)OC(C)(C)C)SC(=C1C1=CC=CC(=C1)C(F)(F)F)C1=CC(=CC=C1)C(C)=O;CC(=O)C1=CC=CC(=C1)B(O)O;CCOC(=O)C1=C(NC(=O)OC(C)(C)C)SC(Br)=C1C1=CC=CC(=C1)C(F)(F)F;DMF:water,,K3PO4,,PPh3
7358;N,N-dimethyl-formamide,,water;polar;potassium phosphate;phosphate;80;PPh3;Pd[P(Ph)3]4;69.0;"Article; Aurelio, Luigi; Figler, Heidi; Flynn, Bernard L.; Linden, Joel; Scammells, Peter J.; Bioorganic and Medicinal Chemistry; vol. 16; 3; (2008); p. 1319 - 1327;";CC(C)(C)OC(=O)NC1=C(C(=O)C2=CC=CC=C2)C(=C(Br)S1)C1=CC=CC(=C1)C(F)(F)F.OB(O)C1=CC=C(C=C1)N(=O)=O>>CC(C)(C)OC(=O)NC1=C(C(=O)C2=CC=CC=C2)C(=C(S1)C1=CC=C(C=C1)N(=O)=O)C1=CC=CC(=C1)C(F)(F)F;OB(O)C1=CC=C(C=C1)N(=O)=O;CC(C)(C)OC(=O)NC1=C(C(=O)C2=CC=CC=C2)C(=C(Br)S1)C1=CC=CC(=C1)C(F)(F)F;DMF:water,,K3PO4,,PPh3
7362;toluene,,water;polarAromatic;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]2Cl2;66.0;"Article; Drizin, Irene; Gregg, Robert J.; Scanio, Marc J.C.; Shi, Lei; Gross, Michael F.; Atkinson, Robert N.; Thomas, James B.; Johnson, Matthew S.; Carroll, William A.; Marron, Brian E.; Chapman, Mark L.; Liu, Dong; Krambis, Michael J.; Shieh, Char-Chang; Zhang, XuFeng; Hernandez, Gricelda; Gauvin, Donna M.; Mikusa, Joseph P.; Zhu, Chang Z.; Joshi, Shailen; Honore, Prisca; Marsh, Kennan C.; Roeloffs, Rosemarie; Werness, Stephen; Krafte, Douglas S.; Jarvis, Michael F.; Faltynek, Connie R.; Kort, Michael E.; Bioorganic and Medicinal Chemistry; vol. 16; 12; (2008); p. 6379 - 6386;";BrC1=CC=C(O1)C(=O)N1CCN(CC1)C1CCCCC1.OB(O)C1=CC=C(OC(F)(F)F)C=C1>>FC(F)(F)OC1=CC=C(C=C1)C1=CC=C(O1)C(=O)N1CCN(CC1)C1CCCCC1;OB(O)C1=CC=C(OC(F)(F)F)C=C1;BrC1=CC=C(O1)C(=O)N1CCN(CC1)C1CCCCC1;Toluene:water,,Na2CO3,,PPh3
7373;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]4;75.0;"Article; Wang, Wen-Long; Chai, Sergio C.; Huang, Min; He, Hong-Zhen; Hurley, Thomas D.; Ye, Qi-Zhuang; Journal of Medicinal Chemistry; vol. 51; 19; (2008); p. 6110 - 6120;";CC1=C(Br)SC=C1.COC1=C(OC)C=C(C=C1)B(O)O>>COC1=C(OC)C=C(C=C1)C1=C(C)C=CS1;COC1=C(OC)C=C(C=C1)B(O)O;CC1=C(Br)SC=C1;DMF:water,,Na2CO3,,PPh3
7374;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]4;81.0;"Article; Wang, Wen-Long; Chai, Sergio C.; Huang, Min; He, Hong-Zhen; Hurley, Thomas D.; Ye, Qi-Zhuang; Journal of Medicinal Chemistry; vol. 51; 19; (2008); p. 6110 - 6120;";CCC1=C(Br)SC=C1.COC1=C(OC)C=C(C=C1)B(O)O>>CCC1=C(SC=C1)C1=CC(OC)=C(OC)C=C1;COC1=C(OC)C=C(C=C1)B(O)O;CCC1=C(Br)SC=C1;DMF:water,,Na2CO3,,PPh3
7375;toluene,,water;polarAromatic;sodium carbonate;carbonate;100;PPh3;Pd[P(Ph)3]4;58.0;"Article; Bey, Emmanuel; Marchais-Oberwinkler, Sandrine; Werth, Ruth; Negri, Matthias; Al-Soud, Yaseen A.; Kruchten, Patricia; Oster, Alexander; Frotscher, Martin; Birk, Barbara; Hartmann, Rolf W.; Journal of Medicinal Chemistry; vol. 51; 21; (2008); p. 6725 - 6739;";COC1=CC=CC(=C1)C1=NC=C(Br)S1.COC1=CC=C(C=C1)B(O)O>>COC1=CC=C(C=C1)C1=CN=C(S1)C1=CC=CC(OC)=C1;COC1=CC=C(C=C1)B(O)O;COC1=CC=CC(=C1)C1=NC=C(Br)S1;Toluene:water,,Na2CO3,,PPh3
7376;toluene,,water;polarAromatic;sodium carbonate;carbonate;100;PPh3;Pd[P(Ph)3]4;79.0;"Article; Bey, Emmanuel; Marchais-Oberwinkler, Sandrine; Werth, Ruth; Negri, Matthias; Al-Soud, Yaseen A.; Kruchten, Patricia; Oster, Alexander; Frotscher, Martin; Birk, Barbara; Hartmann, Rolf W.; Journal of Medicinal Chemistry; vol. 51; 21; (2008); p. 6725 - 6739;";COC1=CC=CC(=C1)C1=NC(Br)=CS1.COC1=CC=C(C=C1)B(O)O>>COC1=CC=C(C=C1)C1=CSC(=N1)C1=CC=CC(OC)=C1;COC1=CC=C(C=C1)B(O)O;COC1=CC=CC(=C1)C1=NC(Br)=CS1;Toluene:water,,Na2CO3,,PPh3
7379;toluene,,water;polarAromatic;sodium carbonate;carbonate;100;PPh3;Pd[P(Ph)3]4;55.0;"Article; Bey, Emmanuel; Marchais-Oberwinkler, Sandrine; Werth, Ruth; Negri, Matthias; Al-Soud, Yaseen A.; Kruchten, Patricia; Oster, Alexander; Frotscher, Martin; Birk, Barbara; Hartmann, Rolf W.; Journal of Medicinal Chemistry; vol. 51; 21; (2008); p. 6725 - 6739;";COC1=CC=C(C=C1)B(O)O.BrC1=NC(Br)=CS1>>COC1=CC=C(C=C1)C1=NC(Br)=CS1;COC1=CC=C(C=C1)B(O)O;BrC1=NC(Br)=CS1;Toluene:water,,Na2CO3,,PPh3
7398;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]4;90.5;"Article; Theeramunkong, Sewan; Vajragupta, Opa; Mudjupa, Chawannuch; Medicinal Chemistry Research; vol. 25; 12; (2016); p. 2959 - 2964;";BrC1=CN=CC2=CC=CC=C12.COC1=CC=C(C=C1)B(O)O>>COC1=CC=C(C=C1)C1=CN=CC2=CC=CC=C12;COC1=CC=C(C=C1)B(O)O;BrC1=CN=CC2=CC=CC=C12;DMF:water,,Na2CO3,,PPh3
7428;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]4;76.0;"Article; Maddox, Sean M.; Nalbandian, Christopher J.; Smith, Davis E.; Gustafson, Jeffrey L.; Organic Letters; vol. 17; 4; (2015); p. 1042 - 1045;";CC(C)(C)N1C=C(I)C2=C(Cl)N=CN=C12.OB(O)C1=C(C=CC=C1)C(F)(F)F>>CC(C)(C)N1C=C(C2=C(Cl)N=CN=C12)C1=C(C=CC=C1)C(F)(F)F;OB(O)C1=C(C=CC=C1)C(F)(F)F;CC(C)(C)N1C=C(I)C2=C(Cl)N=CN=C12;1,4-dioxane:water,,Na2CO3,,PPh3
7438;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;140;PPh3;Pd[P(Ph)3]4;90.0;"Article; Srour, Hassan; Doan, Thu-Hong; Silva, Elisabeth Da; Whitby, Richard J.; Witulski, Bernhard; Journal of Materials Chemistry C; vol. 4; 26; (2016); p. 6270 - 6279;";CCCCCCN1C2=C(C=C(C(Br)=C2)N(=O)=O)C2=C1C=C(Br)C(=C2)N(=O)=O.COC1=CC(=CC(OC)=C1)B(O)O>>CCCCCCN1C2=C(C=C(C(=C2)C2=CC(OC)=CC(OC)=C2)N(=O)=O)C2=C1C=C(C1=CC(OC)=CC(OC)=C1)C(=C2)N(=O)=O;COC1=CC(=CC(OC)=C1)B(O)O;CCCCCCn1c2cc(Br)c([N+](=O)[O-])cc2c2cc([N+](=O)[O-])c(-c3cc(OC)cc(OC)c3)cc21;DMF:water,,Na2CO3,,PPh3
7439;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;140;PPh3;Pd[P(Ph)3]4;85.0;"Article; Srour, Hassan; Doan, Thu-Hong; Silva, Elisabeth Da; Whitby, Richard J.; Witulski, Bernhard; Journal of Materials Chemistry C; vol. 4; 26; (2016); p. 6270 - 6279;";COC1=CC=C(C=C1)B(O)O.CCCCCCN1C2=C(C=C(C(Br)=C2)N(=O)=O)C2=C1C=C(Br)C(=C2)N(=O)=O>>CCCCCCN1C2=C(C=C(C(=C2)C2=CC=C(OC)C=C2)N(=O)=O)C2=C1C=C(C1=CC=C(OC)C=C1)C(=C2)N(=O)=O;COC1=CC=C(C=C1)B(O)O;CCCCCCn1c2cc(Br)c([N+](=O)[O-])cc2c2cc([N+](=O)[O-])c(-c3ccc(OC)cc3)cc21;DMF:water,,Na2CO3,,PPh3
7448;toluene,,water;polarAromatic;sodium carbonate;carbonate;110;PPh3;Pd[P(Ph)3]4;91.0;"Article; Liu, Boao; Dang, Feifan; Feng, Zhao; Tian, Zhuanzhuan; Zhao, Jiang; Wu, Yong; Yang, Xiaolong; Zhou, Guijiang; Wu, Zhaoxin; Wong, Wai-Yeung; Journal of Materials Chemistry C; vol. 5; 31; (2017); p. 7871 - 7883;";COC(=O)C1=CC=C(Br)C=N1.OB(O)C1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1>>COC(=O)C1=NC=C(C=C1)C1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1;OB(O)C1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1;COC(=O)C1=CC=C(Br)C=N1;Toluene:water,,Na2CO3,,PPh3
7449;toluene,,water;polarAromatic;sodium carbonate;carbonate;110;PPh3;Pd[P(Ph)3]4;88.0;"Article; Liu, Boao; Dang, Feifan; Feng, Zhao; Tian, Zhuanzhuan; Zhao, Jiang; Wu, Yong; Yang, Xiaolong; Zhou, Guijiang; Wu, Zhaoxin; Wong, Wai-Yeung; Journal of Materials Chemistry C; vol. 5; 31; (2017); p. 7871 - 7883;";OB(O)C1=CC=C(C=C1)N1C2=C(C=CC=C2)C2=C1C=CC=C2.COC(=O)C1=CC=C(Br)C=N1>>COC(=O)C1=NC=C(C=C1)C1=CC=C(C=C1)N1C2=CC=CC=C2C2=C1C=CC=C2;OB(O)C1=CC=C(C=C1)N1C2=C(C=CC=C2)C2=C1C=CC=C2;COC(=O)C1=CC=C(Br)C=N1;Toluene:water,,Na2CO3,,PPh3
7460;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]2Cl2;82.0;"Article; Mule, Ravindra D.; Shaikh, Aslam C.; Gade, Amol B.; Patil, Nitin T.; Chemical Communications; vol. 54; 84; (2018); p. 11909 - 11912;";OB(O)C1=CC=CC=C1C#CC1=CC=CC=C1.COC1=CC=C(C=C1)C1=CC=CC(Br)=N1>>COC1=CC=C(C=C1)C1=CC=CC(=N1)C1=CC=CC=C1C#CC1=CC=CC=C1;OB(O)C1=CC=CC=C1C#CC1=CC=CC=C1;COC1=CC=C(C=C1)C1=CC=CC(Br)=N1;DMF:water,,Na2CO3,,PPh3
7461;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]2Cl2;84.0;"Article; Mule, Ravindra D.; Shaikh, Aslam C.; Gade, Amol B.; Patil, Nitin T.; Chemical Communications; vol. 54; 84; (2018); p. 11909 - 11912;";CC1=CC=C(C=C1)C#CC1=C(C=CC=C1)B(O)O.COC1=CC=C(C=C1)C1=CC=CC(Br)=N1>>COC1=CC=C(C=C1)C1=NC(=CC=C1)C1=C(C=CC=C1)C#CC1=CC=C(C)C=C1;CC1=CC=C(C=C1)C#CC1=C(C=CC=C1)B(O)O;COC1=CC=C(C=C1)C1=CC=CC(Br)=N1;DMF:water,,Na2CO3,,PPh3
7462;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]2Cl2;79.0;"Article; Mule, Ravindra D.; Shaikh, Aslam C.; Gade, Amol B.; Patil, Nitin T.; Chemical Communications; vol. 54; 84; (2018); p. 11909 - 11912;";COC1=CC=C(C=C1)C#CC1=CC=CC=C1B(O)O.COC1=CC=C(C=C1)C1=CC=CC(Br)=N1>>COC1=CC=C(C=C1)C#CC1=C(C=CC=C1)C1=CC=CC(=N1)C1=CC=C(OC)C=C1;COC1=CC=C(C=C1)C#CC1=CC=CC=C1B(O)O;COC1=CC=C(C=C1)C1=CC=CC(Br)=N1;DMF:water,,Na2CO3,,PPh3
7463;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]2Cl2;80.0;"Article; Mule, Ravindra D.; Shaikh, Aslam C.; Gade, Amol B.; Patil, Nitin T.; Chemical Communications; vol. 54; 84; (2018); p. 11909 - 11912;";CN(C)C1=CC=C(C=C1)C#CC1=C(C=CC=C1)B(O)O.COC1=CC=C(C=C1)C1=CC=CC(Br)=N1>>COC1=CC=C(C=C1)C1=NC(=CC=C1)C1=C(C=CC=C1)C#CC1=CC=C(C=C1)N(C)C;CN(C)C1=CC=C(C=C1)C#CC1=C(C=CC=C1)B(O)O;COC1=CC=C(C=C1)C1=CC=CC(Br)=N1;DMF:water,,Na2CO3,,PPh3
7464;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]2Cl2;81.0;"Article; Mule, Ravindra D.; Shaikh, Aslam C.; Gade, Amol B.; Patil, Nitin T.; Chemical Communications; vol. 54; 84; (2018); p. 11909 - 11912;";OB(O)C1=C(C=CC=C1)C#CC1=CC=C(F)C=C1.COC1=CC=C(C=C1)C1=CC=CC(Br)=N1>>COC1=CC=C(C=C1)C1=NC(=CC=C1)C1=C(C=CC=C1)C#CC1=CC=C(F)C=C1;OB(O)C1=C(C=CC=C1)C#CC1=CC=C(F)C=C1;COC1=CC=C(C=C1)C1=CC=CC(Br)=N1;DMF:water,,Na2CO3,,PPh3
7465;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]2Cl2;78.0;"Article; Mule, Ravindra D.; Shaikh, Aslam C.; Gade, Amol B.; Patil, Nitin T.; Chemical Communications; vol. 54; 84; (2018); p. 11909 - 11912;";COC1=CC=CC(=C1)C#CC1=C(C=CC=C1)B(O)O.COC1=CC=C(C=C1)C1=CC=CC(Br)=N1>>COC1=CC=C(C=C1)C1=NC(=CC=C1)C1=C(C=CC=C1)C#CC1=CC(OC)=CC=C1;COC1=CC=CC(=C1)C#CC1=C(C=CC=C1)B(O)O;COC1=CC=C(C=C1)C1=CC=CC(Br)=N1;DMF:water,,Na2CO3,,PPh3
